,CarrierDel,CarrierID,Delays,LateAircraftDel,Month,NASDel,NumFlights,SecurityDel,WeatherDel,Year
518,4612.0,WN,11976.0,7508.0,8,4314.0,81420,130.0,851.0,2003
519,1382.0,XE,3491.0,1760.0,8,4482.0,28890,26.0,420.0,2003
520,2476.0,AA,5481.0,2292.0,9,5730.0,61075,2.0,807.0,2003
521,713.0,AS,1508.0,689.0,9,770.0,13514,19.0,40.0,2003
522,185.0,B6,328.0,140.0,9,296.0,5503,16.0,15.0,2003
523,733.0,CO,3021.0,1079.0,9,4106.0,23537,6.0,217.0,2003
524,1456.0,DH,3025.0,713.0,9,1873.0,23670,7.0,198.0,2003
525,2099.0,DL,3685.0,1564.0,9,5537.0,53919,6.0,121.0,2003
526,1441.0,EV,3106.0,818.0,9,2393.0,21824,6.0,340.0,2003
527,304.0,FL,1274.0,691.0,9,1172.0,11857,0.0,45.0,2003
528,1077.0,HP,1534.0,471.0,9,1238.0,15156,9.0,42.0,2003
529,1897.0,MQ,4289.0,2575.0,9,3425.0,35230,3.0,362.0,2003
530,2165.0,NW,2915.0,867.0,9,3485.0,39204,14.0,488.0,2003
531,1314.0,OO,2114.0,384.0,9,388.0,33873,26.0,194.0,2003
532,176.0,TZ,412.0,185.0,9,411.0,5801,5.0,3.0,2003
533,1520.0,UA,3560.0,1629.0,9,3516.0,43875,1.0,62.0,2003
534,1379.0,US,3103.0,2118.0,9,3790.0,32597,0.0,111.0,2003
535,3054.0,WN,7897.0,4699.0,9,3038.0,79583,33.0,352.0,2003
536,1066.0,XE,3619.0,1729.0,9,4448.0,27496,19.0,269.0,2003
537,2713.0,AA,4845.0,1857.0,10,4988.0,63290,19.0,256.0,2003
538,1000.0,AS,2040.0,1043.0,10,1312.0,13559,18.0,33.0,2003
539,281.0,B6,535.0,187.0,10,363.0,5856,29.0,12.0,2003
540,652.0,CO,1647.0,587.0,10,2374.0,25082,9.0,113.0,2003
541,1600.0,DH,3183.0,743.0,10,1794.0,24563,13.0,213.0,2003
