,Cancelled,CarrierDel,CarrierID,Delays,DepState,LateAircraftDel,Month,NASDel,NumFlights,SecurityDel,WeatherDel,Year
413,42.0,,,352.0,CT,,9,,3050,,,2000
414,654.0,,,4308.0,FL,,9,,28806,,,2000
415,663.0,,,4426.0,GA,,9,,21910,,,2000
416,11.0,,,132.0,HI,,9,,1377,,,2000
417,30.0,,,73.0,IA,,9,,985,,,2000
418,10.0,,,177.0,ID,,9,,1066,,,2000
419,1087.0,,,5572.0,IL,,9,,28500,,,2000
420,57.0,,,417.0,IN,,9,,3140,,,2000
421,8.0,,,41.0,KS,,9,,573,,,2000
422,150.0,,,971.0,KY,,9,,7992,,,2000
423,48.0,,,604.0,LA,,9,,5032,,,2000
424,385.0,,,1228.0,MA,,9,,9355,,,2000
425,81.0,,,1239.0,MD,,9,,7715,,,2000
426,10.0,,,80.0,ME,,9,,562,,,2000
427,380.0,,,2236.0,MI,,9,,13909,,,2000
428,249.0,,,1639.0,MN,,9,,12122,,,2000
429,203.0,,,2493.0,MO,,9,,18897,,,2000
430,6.0,,,84.0,MS,,9,,813,,,2000
431,10.0,,,83.0,MT,,9,,990,,,2000
432,316.0,,,2248.0,NC,,9,,15635,,,2000
433,2.0,,,33.0,ND,,9,,440,,,2000
434,27.0,,,200.0,NE,,9,,1675,,,2000
435,12.0,,,175.0,NH,,9,,1129,,,2000
436,341.0,,,1502.0,NJ,,9,,10027,,,2000
437,31.0,,,440.0,NM,,9,,3020,,,2000
438,119.0,,,2615.0,NV,,9,,13490,,,2000
439,831.0,,,3816.0,NY,,9,,19318,,,2000
440,166.0,,,1028.0,OH,,9,,8395,,,2000
441,25.0,,,384.0,OK,,9,,3208,,,2000
442,88.0,,,644.0,OR,,9,,4982,,,2000
443,546.0,,,3477.0,PA,,9,,20341,,,2000
444,40.0,,,181.0,PR,,9,,1834,,,2000
445,29.0,,,271.0,RI,,9,,2225,,,2000
446,58.0,,,274.0,SC,,9,,1825,,,2000
447,3.0,,,16.0,SD,,9,,384,,,2000
448,120.0,,,1211.0,TN,,9,,10102,,,2000
449,721.0,,,7416.0,TX,,9,,50176,,,2000
450,101.0,,,796.0,UT,,9,,6696,,,2000
451,452.0,,,1869.0,VA,,9,,14841,,,2000
452,5.0,,,10.0,VI,,9,,226,,,2000
453,3.0,,,44.0,VT,,9,,214,,,2000
454,198.0,,,1635.0,WA,,9,,10043,,,2000
455,47.0,,,143.0,WI,,9,,1762,,,2000
456,3.0,,,14.0,WV,,9,,103,,,2000
457,0.0,,,9.0,WY,,9,,97,,,2000
458,118.0,,,498.0,AK,,10,,3395,,,2000
459,34.0,,,274.0,AL,,10,,2602,,,2000
460,16.0,,,165.0,AR,,10,,1165,,,2000
461,574.0,,,5711.0,AZ,,10,,17957,,,2000
462,2063.0,,,16512.0,CA,,10,,60497,,,2000
463,212.0,,,2522.0,CO,,10,,12675,,,2000
464,43.0,,,385.0,CT,,10,,3207,,,2000
465,466.0,,,3991.0,FL,,10,,30529,,,2000
466,402.0,,,2800.0,GA,,10,,23028,,,2000
467,10.0,,,135.0,HI,,10,,1438,,,2000
468,31.0,,,114.0,IA,,10,,1048,,,2000
469,7.0,,,246.0,ID,,10,,1083,,,2000
470,674.0,,,5483.0,IL,,10,,29943,,,2000
471,60.0,,,433.0,IN,,10,,3313,,,2000
472,18.0,,,59.0,KS,,10,,607,,,2000
473,158.0,,,969.0,KY,,10,,8336,,,2000
474,45.0,,,684.0,LA,,10,,5293,,,2000
475,385.0,,,1607.0,MA,,10,,9918,,,2000
476,97.0,,,1430.0,MD,,10,,8198,,,2000
477,12.0,,,74.0,ME,,10,,581,,,2000
478,251.0,,,2046.0,MI,,10,,14630,,,2000
479,243.0,,,1714.0,MN,,10,,12775,,,2000
480,350.0,,,3733.0,MO,,10,,19761,,,2000
481,6.0,,,88.0,MS,,10,,857,,,2000
482,5.0,,,71.0,MT,,10,,961,,,2000
483,198.0,,,1826.0,NC,,10,,16240,,,2000
484,3.0,,,32.0,ND,,10,,436,,,2000
485,14.0,,,261.0,NE,,10,,1724,,,2000
486,8.0,,,212.0,NH,,10,,1168,,,2000
487,252.0,,,1485.0,NJ,,10,,10780,,,2000
488,25.0,,,830.0,NM,,10,,3180,,,2000
489,190.0,,,4141.0,NV,,10,,14030,,,2000
490,689.0,,,3620.0,NY,,10,,20650,,,2000
491,168.0,,,1010.0,OH,,10,,8715,,,2000
492,38.0,,,530.0,OK,,10,,3389,,,2000
493,113.0,,,1012.0,OR,,10,,5189,,,2000
494,428.0,,,3414.0,PA,,10,,21134,,,2000
495,30.0,,,194.0,PR,,10,,1924,,,2000
496,12.0,,,254.0,RI,,10,,2401,,,2000
497,26.0,,,129.0,SC,,10,,1886,,,2000
498,1.0,,,18.0,SD,,10,,395,,,2000
