,Cancelled,CarrierDel,CarrierID,Delays,LateAircraftDel,Month,NASDel,NumFlights,SecurityDel,WeatherDel,Year
283,546.0,,Southwest Airlines Co.,11076.0,,2,,72782,,,2002
284,1168.0,,American Airlines Inc.,9765.0,,3,,72289,,,2002
285,386.0,,Alaska Airlines Inc.,2926.0,,3,,13272,,,2002
286,68.0,,Continental Air Lines Inc.,2656.0,,3,,28910,,,2002
287,525.0,,Delta Air Lines Inc.,8970.0,,3,,63216,,,2002
288,148.0,,US Airways,2158.0,,3,,16289,,,2002
289,1462.0,,American Eagle Airlines Inc.,6365.0,,3,,37299,,,2002
290,862.0,,Northwest Airlines Inc.,8831.0,,3,,42819,,,2002
291,374.0,,United Air Lines Inc.,5831.0,,3,,47004,,,2002
292,473.0,,US Airways,7144.0,,3,,46607,,,2002
293,567.0,,Southwest Airlines Co.,19440.0,,3,,80191,,,2002
294,770.0,,American Airlines Inc.,7994.0,,4,,71915,,,2002
295,262.0,,Alaska Airlines Inc.,1975.0,,4,,12937,,,2002
296,44.0,,Continental Air Lines Inc.,2137.0,,4,,27873,,,2002
297,341.0,,Delta Air Lines Inc.,6408.0,,4,,61134,,,2002
298,107.0,,US Airways,1977.0,,4,,16101,,,2002
299,1175.0,,American Eagle Airlines Inc.,5577.0,,4,,36796,,,2002
300,461.0,,Northwest Airlines Inc.,5540.0,,4,,41068,,,2002
301,228.0,,United Air Lines Inc.,4944.0,,4,,47451,,,2002
302,467.0,,US Airways,6176.0,,4,,44124,,,2002
303,658.0,,Southwest Airlines Co.,13805.0,,4,,78742,,,2002
304,608.0,,American Airlines Inc.,7740.0,,5,,74236,,,2002
305,271.0,,Alaska Airlines Inc.,2005.0,,5,,13738,,,2002
306,43.0,,Continental Air Lines Inc.,2235.0,,5,,27814,,,2002
307,578.0,,Delta Air Lines Inc.,7089.0,,5,,62431,,,2002
308,59.0,,US Airways,1688.0,,5,,16654,,,2002
309,988.0,,American Eagle Airlines Inc.,5345.0,,5,,37260,,,2002
310,456.0,,Northwest Airlines Inc.,5068.0,,5,,42540,,,2002
311,212.0,,United Air Lines Inc.,4015.0,,5,,49335,,,2002
312,486.0,,US Airways,5949.0,,5,,45147,,,2002
313,741.0,,Southwest Airlines Co.,16643.0,,5,,80891,,,2002
314,1336.0,,American Airlines Inc.,10859.0,,6,,72926,,,2002
315,328.0,,Alaska Airlines Inc.,3009.0,,6,,14156,,,2002
316,142.0,,Continental Air Lines Inc.,2813.0,,6,,27130,,,2002
317,630.0,,Delta Air Lines Inc.,8265.0,,6,,61646,,,2002
318,321.0,,US Airways,2671.0,,6,,17212,,,2002
319,1404.0,,American Eagle Airlines Inc.,6318.0,,6,,36452,,,2002
320,1065.0,,Northwest Airlines Inc.,6904.0,,6,,44630,,,2002
321,953.0,,United Air Lines Inc.,8071.0,,6,,51753,,,2002
322,742.0,,US Airways,5916.0,,6,,43304,,,2002
323,745.0,,Southwest Airlines Co.,19990.0,,6,,79124,,,2002
324,953.0,,American Airlines Inc.,11441.0,,7,,76661,,,2002
325,290.0,,Alaska Airlines Inc.,3056.0,,7,,15036,,,2002
326,230.0,,Continental Air Lines Inc.,2694.0,,7,,27981,,,2002
327,579.0,,Delta Air Lines Inc.,8455.0,,7,,62989,,,2002
328,275.0,,US Airways,2797.0,,7,,17515,,,2002
329,952.0,,American Eagle Airlines Inc.,6871.0,,7,,37969,,,2002
330,911.0,,Northwest Airlines Inc.,7795.0,,7,,47279,,,2002
331,528.0,,United Air Lines Inc.,6986.0,,7,,54017,,,2002
332,545.0,,US Airways,5604.0,,7,,44330,,,2002
333,997.0,,Southwest Airlines Co.,20479.0,,7,,81796,,,2002
334,869.0,,American Airlines Inc.,8915.0,,8,,75166,,,2002
335,214.0,,Alaska Airlines Inc.,3145.0,,8,,15003,,,2002
336,83.0,,Continental Air Lines Inc.,2594.0,,8,,28263,,,2002
337,369.0,,Delta Air Lines Inc.,5808.0,,8,,63405,,,2002
338,285.0,,US Airways,2403.0,,8,,17596,,,2002
339,1112.0,,American Eagle Airlines Inc.,5729.0,,8,,37945,,,2002
340,702.0,,Northwest Airlines Inc.,5980.0,,8,,47712,,,2002
341,443.0,,United Air Lines Inc.,7259.0,,8,,54545,,,2002
342,365.0,,US Airways,4591.0,,8,,44531,,,2002
343,897.0,,Southwest Airlines Co.,18262.0,,8,,82598,,,2002
344,431.0,,American Airlines Inc.,5198.0,,9,,69156,,,2002
345,230.0,,Alaska Airlines Inc.,1568.0,,9,,13283,,,2002
